GEO.id2,HD01_VD17,HD01_VD18,HD01_VD41,HD01_VD42
Id2,Male Public,Male Private,Female Public,Female Private
54129,60,5,83,0
54130,707,66,618,37
54135,187,6,132,0
54136,147,13,102,0
54137,25,0,21,11
54138,32,4,4,0
54139,87,4,79,3
54140,139,0,201,0
54141,77,0,67,0
54143,388,0,412,12
54149,16,2,28,3
54150,87,0,5,0
54151,67,6,74,14
54153,162,0,211,0
54154,181,0,125,2
54155,146,0,157,53
54156,25,3,35,2
54157,195,0,96,0
54159,32,0,8,0
54160,6,0,13,4
54161,38,10,99,2
54162,188,9,267,14
54165,192,10,256,4
54166,481,7,358,18
54169,64,19,99,12
54170,75,9,90,9
54171,87,0,126,0
54173,115,0,149,0
54174,75,0,62,8
54175,0,3,8,0
54177,81,4,75,0
54180,120,13,136,9
54201,190,17,160,0
54202,5,4,19,0
54204,65,8,61,0
54205,61,3,36,8
54207,0,0,1,0
54208,263,8,197,16
54209,23,4,22,0
54210,32,8,14,14
54211,6,0,3,0
54212,57,0,12,3
54213,36,0,55,1
54214,9,0,7,0
54216,103,0,168,0
54217,220,5,211,0
54220,821,134,982,128
54227,65,4,46,0
54228,58,21,62,0
54229,105,0,121,0
54230,96,7,118,13
54232,23,0,22,2
54234,0,0,3,0
54235,304,16,390,14
54241,333,34,229,43
54245,79,2,66,0
54246,12,0,5,0
54247,63,2,78,11
54301,361,89,450,77
54302,799,77,816,19
54303,1022,25,858,19
54304,636,59,612,40
54307,0,0,0,0
54311,673,85,624,77
54313,1142,52,1208,51
54401,610,53,553,54
54403,891,48,669,53
54405,66,3,74,19
54406,77,0,76,0
54407,47,0,34,2
54408,24,3,20,2
54409,333,26,237,36
54410,60,11,62,3
54411,154,11,132,12
54412,52,0,34,5
54413,0,0,1,0
54414,61,0,66,18
54416,53,0,43,2
54417,0,0,0,0
54418,12,6,30,12
54420,31,2,29,12
54421,72,11,51,2
54422,29,0,19,4
54423,95,7,71,5
54424,34,0,45,0
54425,76,0,66,0
54426,147,2,124,5
54427,11,0,11,2
54428,22,0,18,13
54430,2,0,5,0
54433,32,3,38,3
54435,43,6,42,0
54436,35,3,42,3
54437,104,2,50,2
54440,81,0,87,4
54441,31,0,27,0
54442,110,2,58,0
54443,56,2,90,5
54446,74,0,56,3
54447,17,0,8,0
54448,129,0,100,9
54449,747,58,562,94
54450,11,0,8,0
54451,320,11,253,55
54452,514,3,443,26
54454,37,0,26,0
54455,435,16,461,16
54456,122,5,149,3
54457,241,6,195,4
54458,2,0,8,0
54459,29,0,28,4
54460,30,0,30,2
54462,9,0,3,0
54463,20,2,7,0
54465,6,0,2,0
54466,71,4,57,11
54467,342,26,256,29
54469,56,0,41,0
54470,55,4,48,7
54471,20,7,51,0
54473,111,2,79,2
54474,85,11,66,0
54475,52,0,18,3
54476,394,18,578,20
54479,144,14,112,7
54480,46,0,28,0
54481,491,37,448,78
54482,229,18,89,24
54484,189,11,149,6
54485,4,0,0,0
54486,50,2,39,10
54487,180,14,182,14
54488,26,6,17,7
54489,38,2,42,5
54490,14,2,26,3
54491,30,0,33,0
54493,10,0,18,0
54494,698,9,602,20
54495,103,4,134,1
54498,28,2,43,5
54499,43,4,133,0
54501,588,43,520,4
54511,37,2,15,0
54512,25,0,24,0
54513,10,0,11,0
54514,36,0,21,4
54515,12,0,19,4
54517,0,0,0,0
54519,25,0,25,0
54520,174,0,96,0
54521,189,6,178,0
54524,25,0,23,0
54525,10,0,8,0
54526,29,6,21,5
54527,37,6,26,14
54529,26,0,29,0
54530,25,0,9,0
54531,20,0,27,0
54534,29,0,33,0
54536,0,0,7,0
54537,13,1,13,0
54538,26,0,47,0
54539,10,2,8,0
54540,22,0,30,0
54541,26,23,37,17
54542,3,0,0,4
54545,20,0,7,2
54546,22,0,23,0
54547,28,0,27,0
54548,67,0,43,0
54550,10,2,19,0
54552,79,1,89,0
54554,10,0,13,4
54555,124,0,73,8
54556,29,0,40,3
54557,18,0,12,0
54558,13,0,5,0
54559,20,0,7,1
54560,7,0,3,0
54561,0,0,0,0
54562,15,0,30,0
54563,21,2,8,0
54564,8,0,3,0
54565,0,0,1,0
54566,31,0,38,2
54568,55,0,99,0
54601,787,130,653,174
54603,319,14,158,0
54610,31,0,33,0
54611,35,0,23,0
54612,162,0,121,1
54613,31,0,21,0
54614,100,2,47,7
54615,289,34,294,6
54616,30,0,43,0
54618,74,3,78,3
54619,75,5,90,9
54621,27,1,43,0
54622,81,0,36,0
54623,88,3,40,5
54624,64,0,39,0
54625,10,0,7,0
54626,32,0,36,0
54627,90,3,45,0
54628,13,0,21,3
54629,83,13,68,6
54630,130,4,110,4
54631,28,0,54,4
54632,31,0,32,0
54634,98,39,86,23
54635,22,0,28,2
54636,449,37,546,24
54637,3,0,6,0
54638,53,5,31,3
54639,78,5,42,11
54641,0,0,0,0
54642,39,1,50,1
54643,0,0,0,0
54644,26,0,66,0
54645,4,0,5,0
54646,117,9,100,14
54648,30,2,63,4
54650,638,22,665,24
54651,46,4,24,2
54652,40,6,27,0
54653,20,22,16,14
54654,0,0,0,0
54655,33,3,31,0
54656,446,33,402,54
54657,7,3,6,0
54658,60,12,63,15
54659,16,11,28,0
54660,368,21,373,12
54661,90,2,94,5
54664,39,3,101,0
54665,117,16,67,116
54666,68,4,47,4
54667,55,8,79,4
54669,164,0,200,9
54670,48,1,36,2
54701,759,80,960,40
54703,684,69,936,73
54720,145,26,90,0
54721,48,5,35,0
54722,95,20,73,10
54723,24,1,25,0
54724,177,4,179,5
54725,42,9,58,5
54726,44,0,43,8
54727,140,6,87,13
54728,160,11,98,20
54729,924,79,863,60
54730,120,1,101,13
54731,13,1,25,7
54732,79,2,96,0
54733,11,1,14,0
54734,33,0,49,2
54736,93,0,83,2
54737,15,0,14,0
54738,93,0,88,15
54739,175,4,143,3
54740,45,2,27,1
54741,34,0,43,0
54742,186,22,116,11
54745,36,4,30,4
54746,14,0,37,0
54747,58,1,52,6
54748,15,0,50,0
54749,33,5,29,7
54750,13,0,16,1
54751,459,27,431,15
54754,41,7,26,0
54755,171,19,176,5
54756,23,0,23,0
54757,91,4,53,2
54758,123,10,90,7
54759,37,0,35,0
54760,1,0,5,0
54761,35,0,32,0
54762,23,0,47,16
54763,29,2,27,0
54765,0,0,0,0
54766,40,8,38,4
54767,165,14,106,2
54768,248,4,128,1
54769,27,0,9,0
54770,71,0,52,13
54771,123,13,77,3
54772,19,0,14,0
54773,79,2,117,2
54801,155,26,118,2
54805,26,2,26,0
54806,349,3,267,22
54810,9,0,40,3
54812,134,2,118,15
54813,12,0,3,0
54814,60,1,67,7
54817,28,3,19,6
54819,60,6,64,4
54820,23,0,19,4
54821,32,0,8,3
54822,67,0,138,9
54824,52,3,27,4
54826,17,0,13,0
54827,0,0,0,4
54828,1,0,4,2
54829,123,3,63,4
54830,28,6,39,4
54832,12,2,6,0
54835,20,9,25,2
54836,51,0,10,0
54837,79,8,49,6
54838,11,2,33,2
54839,7,0,2,0
54840,147,7,98,12
54841,7,0,6,0
54842,8,0,9,0
54843,323,2,270,12
54844,2,1,6,0
54845,1,0,6,0
54846,7,0,8,0
54847,56,4,68,7
54848,105,17,135,11
54849,24,5,58,5
54850,0,0,3,0
54853,103,16,64,8
54854,23,3,41,2
54855,42,6,37,2
54856,44,2,40,1
54857,0,0,0,0
54858,26,0,30,0
54859,31,7,45,2
54861,0,0,0,0
54862,14,0,0,0
54864,27,0,26,0
54865,6,0,10,0
54867,0,0,0,0
54868,417,0,247,24
54870,19,0,18,0
54871,63,7,96,16
54872,52,3,59,7
54873,51,0,42,0
54874,112,12,99,6
54875,10,2,30,6
54876,18,12,23,4
54880,593,65,596,17
54888,19,0,31,0
54889,56,0,44,9
54891,46,4,47,0
54893,59,9,77,7
54895,15,0,12,0
54896,33,0,26,0
54901,770,25,564,39
54902,498,59,629,47
54904,543,37,312,82
54909,74,2,94,5
54911,572,99,524,81
54913,505,73,432,56
54914,606,77,874,103
54915,1547,123,939,134
54921,52,0,35,3
54922,40,0,24,3
54923,232,9,250,6
54927,8,0,10,0
54928,13,3,11,5
54929,176,0,147,7
54930,57,2,23,0
54931,0,0,0,5
54932,24,3,65,0
54933,9,0,2,0
54934,41,0,16,0
54935,727,195,862,150
54937,472,84,454,147
54940,85,5,48,4
54941,26,2,44,0
54942,263,37,285,22
54943,34,0,43,0
54944,307,18,264,23
54945,107,10,94,7
54946,0,0,0,0
54947,39,0,51,29
54948,14,0,19,0
54949,67,8,95,5
54950,49,2,77,9
54952,569,58,486,16
54956,991,104,1053,133
54960,57,4,52,4
54961,437,36,321,26
54962,38,0,36,4
54963,249,6,210,6
54964,24,7,65,4
54965,37,0,37,0
54966,75,2,60,2
54967,0,0,7,0
54968,86,21,56,0
54970,72,58,26,3
54971,325,0,245,2
54974,50,3,24,0
54977,70,0,28,0
54979,38,14,7,13
54980,0,0,6,0
54981,344,50,400,53
54982,115,7,186,3
54983,156,24,94,20
54984,27,14,68,2
54985,0,0,0,0
54986,93,0,165,5
61072,296,26,450,46
61080,186,51,297,32
