"ZIP","COUNTYNAME"
54830,"Douglas County"
54890,"Douglas County"
54838,"Douglas County"
54849,"Douglas County"
54874,"Douglas County"
54854,"Douglas County"
54751,"Dunn County"
54027,"Dunn County"
54730,"Dunn County"
54749,"Dunn County"
54013,"Dunn County"
54767,"Dunn County"
54735,"Dunn County"
54757,"Dunn County"
54772,"Dunn County"
54762,"Dunn County"
54721,"Dunn County"
54739,"Dunn County"
54740,"Dunn County"
54763,"Dunn County"
54005,"Dunn County"
54728,"Dunn County"
54765,"Dunn County"
54725,"Dunn County"
54734,"Dunn County"
54737,"Dunn County"
54736,"Dunn County"
54701,"Dunn County"
54703,"Dunn County"
54755,"Dunn County"
54764,"Dunn County"
54758,"Eau Claire County"
54768,"Eau Claire County"
54727,"Eau Claire County"
54701,"Eau Claire County"
54702,"Eau Claire County"
54703,"Eau Claire County"
54720,"Eau Claire County"
54722,"Eau Claire County"
54738,"Eau Claire County"
54755,"Eau Claire County"
54726,"Eau Claire County"
54729,"Eau Claire County"
54739,"Eau Claire County"
54742,"Eau Claire County"
54741,"Eau Claire County"
54770,"Eau Claire County"
54121,"Florence County"
54151,"Florence County"
54542,"Florence County"
54103,"Florence County"
54120,"Florence County"
54935,"Fond du Lac County"
54971,"Fond du Lac County"
53946,"Fond du Lac County"
53023,"Fond du Lac County"
53057,"Fond du Lac County"
53040,"Fond du Lac County"
53010,"Fond du Lac County"
53019,"Fond du Lac County"
53919,"Fond du Lac County"
53049,"Fond du Lac County"
54964,"Fond du Lac County"
54937,"Fond du Lac County"
54979,"Fond du Lac County"
54936,"Fond du Lac County"
54904,"Fond du Lac County"
53065,"Fond du Lac County"
54974,"Fond du Lac County"
53931,"Fond du Lac County"
54932,"Fond du Lac County"
53963,"Fond du Lac County"
53079,"Fond du Lac County"
53048,"Fond du Lac County"
53014,"Fond du Lac County"
53006,"Fond du Lac County"
53011,"Fond du Lac County"
54566,"Forest County"
54541,"Forest County"
54521,"Forest County"
54103,"Forest County"
54520,"Forest County"
54104,"Forest County"
54465,"Forest County"
54562,"Forest County"
54542,"Forest County"
54511,"Forest County"
53518,"Grant County"
53554,"Grant County"
53821,"Grant County"
53820,"Grant County"
53827,"Grant County"
53802,"Grant County"
53817,"Grant County"
53804,"Grant County"
53812,"Grant County"
53809,"Grant County"
53825,"Grant County"
53808,"Grant County"
53569,"Grant County"
53813,"Grant County"
53818,"Grant County"
53801,"Grant County"
53573,"Grant County"
53824,"Grant County"
53807,"Grant County"
53811,"Grant County"
53816,"Grant County"
53543,"Grant County"
53806,"Grant County"
53805,"Grant County"
53810,"Grant County"
53570,"Green County"
53508,"Green County"
53521,"Green County"
53502,"Green County"
53574,"Green County"
53550,"Green County"
53572,"Green County"
53522,"Green County"
53516,"Green County"
53566,"Green County"
53504,"Green County"
53520,"Green County"
53923,"Green Lake County"
53947,"Green Lake County"
54923,"Green Lake County"
54968,"Green Lake County"
54941,"Green Lake County"
53926,"Green Lake County"
54960,"Green Lake County"
53919,"Green Lake County"
53946,"Green Lake County"
54971,"Green Lake County"
53949,"Green Lake County"
53939,"Green Lake County"
53956,"Green Lake County"
53503,"Iowa County"
53506,"Iowa County"
53565,"Iowa County"
53533,"Iowa County"
53516,"Iowa County"
53595,"Iowa County"
53580,"Iowa County"
53572,"Iowa County"
53582,"Iowa County"
53569,"Iowa County"
53544,"Iowa County"
53554,"Iowa County"
53553,"Iowa County"
53517,"Iowa County"
53818,"Iowa County"
