Zipcode,Male Public,Male Private,Female Public,Female Private,Total Public,Total Private,Private Ratio
54963,249,6,210,6,459,12,0.025477707
54964,24,7,65,4,89,11,0.11
54965,37,0,37,0,74,0,0
54966,75,2,60,2,135,4,0.028776978
54967,0,0,7,0,7,0,0
54968,86,21,56,0,142,21,0.128834356
54970,72,58,26,3,98,61,0.383647799
54971,325,0,245,2,570,2,0.003496503
54974,50,3,24,0,74,3,0.038961039
54977,70,0,28,0,98,0,0
54979,38,14,7,13,45,27,0.375
54980,0,0,6,0,6,0,0
54981,344,50,400,53,744,103,0.121605667
54982,115,7,186,3,301,10,0.032154341
54983,156,24,94,20,250,44,0.149659864
54984,27,14,68,2,95,16,0.144144144
54986,93,0,165,5,258,5,0.019011407
61072,296,26,450,46,746,72,0.08801956
61080,186,51,297,32,483,83,0.14664311
