zip code,Total,Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,Assoc Ratio,Bachelor Ratio,Master Ratio,Prof Degree Ratio,Doctor Ratio
53093,1408,180,265,46,3,8,0.127840909,0.188210227,0.032670455,0.002130682,0.005681818
53094,12694,1605,1933,603,77,77,0.126437687,0.152276666,0.047502757,0.006065858,0.006065858
53095,19213,2106,4293,1063,334,117,0.109613283,0.223442461,0.055327122,0.017384063,0.006089627
53097,3645,139,1353,436,324,134,0.038134431,0.371193416,0.119615912,0.088888889,0.036762689
53098,8477,972,972,432,64,11,0.114663206,0.114663206,0.050961425,0.007549841,0.001297629
53103,2893,425,494,207,13,31,0.146906326,0.170757,0.071552022,0.004493605,0.01071552
53104,3956,338,543,269,25,60,0.085439838,0.137259858,0.067997978,0.006319515,0.015166835
53105,20396,1886,3278,1343,203,165,0.092469112,0.160717788,0.065846244,0.009952932,0.008089822
53108,2495,282,234,146,48,0,0.113026052,0.093787575,0.058517034,0.019238477,0
53110,13455,1273,2109,536,133,82,0.094611669,0.156744705,0.039836492,0.009884801,0.006094389
53114,1950,184,178,115,9,22,0.094358974,0.091282051,0.058974359,0.004615385,0.011282051
53115,11044,1147,1382,599,67,33,0.103857298,0.12513582,0.054237595,0.006066643,0.002988048
53118,5319,406,1269,407,92,44,0.076330137,0.23857868,0.076518143,0.017296484,0.008272232
53119,3894,450,819,229,77,11,0.115562404,0.210323575,0.058808423,0.019774011,0.002824859
53120,6883,661,1256,604,192,35,0.096033706,0.18247857,0.087752434,0.027894813,0.005084992
53121,12703,1076,2442,1103,99,113,0.084704401,0.192238054,0.086829883,0.007793435,0.008895536
53122,4349,212,1722,823,342,177,0.048746838,0.395953093,0.189238905,0.078638768,0.040699011
53125,1481,123,545,236,69,13,0.083051992,0.367994598,0.159351789,0.046590142,0.008777853
53126,5034,604,1019,355,104,5,0.119984108,0.20242352,0.070520461,0.020659515,0.000993246
53128,5661,602,736,302,23,21,0.106341636,0.130012365,0.053347465,0.004062886,0.003709592
53129,10553,1009,2732,1189,232,87,0.095612622,0.25888373,0.112669383,0.02198427,0.008244101
53130,5535,492,1512,599,125,60,0.088888889,0.273170732,0.108220416,0.022583559,0.010840108
53132,25811,2443,6330,2881,613,319,0.094649568,0.245244276,0.111619077,0.023749564,0.012359072
53137,1180,144,219,34,14,10,0.122033898,0.18559322,0.028813559,0.011864407,0.008474576
53139,1980,226,434,119,14,17,0.114141414,0.219191919,0.06010101,0.007070707,0.008585859
53140,18209,1633,2104,890,116,169,0.089680927,0.115547257,0.048876929,0.006370476,0.009281125
53142,21653,2234,4809,1939,282,272,0.103172771,0.222093936,0.089548792,0.0130236,0.01256177
53143,15758,1595,2017,725,127,127,0.101218429,0.127998477,0.046008377,0.008059398,0.008059398
53144,17075,1979,2915,1148,193,87,0.115900439,0.170717423,0.067232796,0.011303075,0.005095168
53146,5816,725,1470,358,49,42,0.124656121,0.252751032,0.061554333,0.008425034,0.007221458
53147,11915,786,2547,1137,275,147,0.065967268,0.213764163,0.095425934,0.023080151,0.01233739
53149,13667,1802,3113,1085,242,162,0.131850443,0.227774932,0.079388308,0.017706885,0.011853369
53150,17425,1746,4340,1381,245,251,0.100200861,0.249067432,0.079253945,0.014060258,0.014404591
53151,23711,2370,6607,2713,640,305,0.099953608,0.278647041,0.114419468,0.026991692,0.012863228
53153,1749,166,414,134,20,9,0.094911378,0.23670669,0.076615209,0.011435106,0.005145798
53154,25040,2534,5611,2072,207,243,0.101198083,0.22408147,0.082747604,0.008266773,0.009704473
53156,2106,215,299,95,6,20,0.102089269,0.141975309,0.045109212,0.002849003,0.009496676
53158,12023,1163,2809,1109,143,102,0.096731265,0.233635532,0.092239874,0.01189387,0.008483739
53167,379,48,70,0,0,0,0.126649077,0.18469657,0,0,0
53168,6138,634,1030,340,74,18,0.103290974,0.167807103,0.055392636,0.012056044,0.002932551
53170,1612,168,282,115,0,12,0.104218362,0.174937965,0.07133995,0,0.007444169
53172,15039,1676,2174,850,104,28,0.11144358,0.144557484,0.056519715,0.006915353,0.001861826
53177,6308,531,800,223,46,5,0.084178821,0.126823082,0.035351934,0.007292327,0.000792644
53178,2121,244,279,104,19,10,0.115040075,0.131541726,0.049033475,0.008958039,0.004714757
53179,4292,328,715,175,40,9,0.076421249,0.166589003,0.040773532,0.009319664,0.002096925
53181,5122,430,672,334,26,30,0.083951581,0.13119875,0.065208903,0.005076142,0.005857087
53182,6774,783,927,289,36,4,0.115589017,0.136846767,0.042663124,0.005314438,0.000590493
53183,1919,210,484,378,51,31,0.109431996,0.252214695,0.196977592,0.026576342,0.016154247
53184,2815,208,547,168,24,12,0.073889876,0.194316163,0.059680284,0.008525755,0.004262877
53185,12915,1380,2878,923,98,94,0.106852497,0.222841657,0.071467286,0.007588076,0.007278358
53186,22294,2238,5440,2057,269,252,0.100385754,0.244011842,0.092266978,0.012066027,0.01130349
53188,24735,2408,5986,2125,477,248,0.09735193,0.242005256,0.085910653,0.019284415,0.010026279
53189,17585,2140,5021,1471,330,194,0.121694626,0.285527438,0.083650839,0.018765994,0.01103213
53190,8105,682,1596,869,41,258,0.084145589,0.196915484,0.107217767,0.005058606,0.031832202
53191,2059,256,443,309,48,51,0.1243322,0.215152987,0.150072851,0.023312288,0.024769305
53192,50,0,0,0,0,0,0,0,0,0,0
53195,91,6,12,0,0,0,0.065934066,0.131868132,0,0,0
53202,19312,795,8235,2799,1469,751,0.041166114,0.426418807,0.144935791,0.076066694,0.038887738
53203,1068,83,439,144,72,13,0.077715356,0.411048689,0.134831461,0.06741573,0.012172285
53204,22165,656,1239,446,110,58,0.02959621,0.05589894,0.020121814,0.004962779,0.002616738
53205,5293,401,350,134,0,29,0.075760438,0.066125071,0.025316456,0,0.005478934
53206,13825,867,759,178,18,5,0.062712477,0.054900542,0.012875226,0.001301989,0.000361664
53207,27711,2284,6873,2644,400,283,0.082422143,0.24802425,0.095413374,0.014434701,0.010212551
53208,18511,1333,3111,1256,226,126,0.072011237,0.168062233,0.067851548,0.012208957,0.006806764
53209,28270,2307,3786,1646,293,292,0.081605943,0.133922886,0.058224266,0.010364344,0.010328971
53210,15391,1145,1934,892,158,83,0.074394126,0.125657852,0.057955948,0.01026574,0.005392762
53211,20197,924,7530,3985,1335,1186,0.045749369,0.372827648,0.197306531,0.066098926,0.058721592
